時刻流量月表検索結果
水系名,天塩川
河川名,天塩川
観測所名,誉平
観測所記号,301011281104120
#
#日付,1時データ,1時フラグ,,,,,,,,24時データ,24時フラグ
#  フラグの意味： *:暫定値, $:欠測, #:閉局, -:未登録
#
,1時,,2時,,3時,,4時,,5時,,6時,,7時,,8時,,9時,,10時,,11時,,12時,,13時,,14時,,15時,,16時,,17時,,18時,,19時,,20時,,21時,,22時,,23時,,24時,
2018/03/01,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   71.09, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/02,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   82.19, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/03,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   85.51, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/04,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   77.33, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/05,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   71.09, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/06,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   80.55, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/07,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   92.35, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/08,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,   99.45, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/09,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  103.10, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/10,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  116.39, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/11,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  126.38, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
