"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-01","1997","01","01","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-02","1997","01","02","","-4.0","","-14.2","","-9.1","","27.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-03","1997","01","03","","1.4","","-4.0","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-04","1997","01","04","","0.0","","-3.1","","-1.6","","19.6","","0.0","","","M","","M","3.4","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-05","1997","01","05","","","M","-2.4","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-06","1997","01","06","","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","44",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-07","1997","01","07","","","M","","M","","M","","M","","M","","M","","M","","M","","","31","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-08","1997","01","08","","-6.0","","-20.9","","-13.5","","31.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-09","1997","01","09","","-9.8","","-22.2","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-10","1997","01","10","","-3.3","E","-14.1","E","-8.7","E","26.7","E","0.0","E","","M","","M","7.5","E","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-11","1997","01","11","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-12","1997","01","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-13","1997","01","13","","-4.7","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-14","1997","01","14","","-3.5","","-6.3","","-4.9","","22.9","","0.0","","","M","","M","0.6","","","","28","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-15","1997","01","15","","-3.0","","-8.7","","-5.9","","23.9","","0.0","","","M","","M","1.2","","","","18","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-16","1997","01","16","","1.3","","-27.8","","-13.3","","31.3","","0.0","","","M","","M","6.9","","","","22","","52",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-17","1997","01","17","","-16.0","","-32.7","","-24.4","","42.4","","0.0","","","M","","M","0.7","","","","22","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-18","1997","01","18","","-19.7","","-37.4","","-28.6","","46.6","","0.0","","","M","","M","0.7","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-19","1997","01","19","","","M","","M","","M","","M","","M","","M","","M","","M","","","21","","39",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-20","1997","01","20","","-3.1","","-19.3","","-11.2","","29.2","","0.0","","","M","","M","0.7","","","","32","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-21","1997","01","21","","-4.0","","-27.9","","-16.0","","34.0","","0.0","","","M","","M","","M","","","17","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-22","1997","01","22","","4.4","","-6.7","","-1.2","","19.2","","0.0","","","M","","M","28.2","","","","21","","52",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-23","1997","01","23","","-6.7","","-23.3","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","34","","39",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-24","1997","01","24","","-8.7","","-26.0","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-25","1997","01","25","","0.7","","-19.1","","-9.2","","27.2","","0.0","","","M","","M","","M","","","23","","59",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-26","1997","01","26","","-13.4","","-32.4","","-22.9","","40.9","","0.0","","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-27","1997","01","27","","","M","-35.0","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-28","1997","01","28","","-8.2","","-16.0","","-12.1","","30.1","","0.0","","","M","","M","0.6","","","","27","","33",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-29","1997","01","29","","-14.2","","-29.1","","-21.7","","39.7","","0.0","","","M","","M","0.0","","","","34","","33",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-30","1997","01","30","","-14.1","","-32.2","","-23.2","","41.2","","0.0","","","M","","M","0.6","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-01-31","1997","01","31","","-1.9","","-15.7","","-8.8","","26.8","","0.0","","","M","","M","2.5","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-01","1997","02","01","","-0.3","","-13.5","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-02","1997","02","02","","-3.9","","-10.3","","-7.1","","25.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-03","1997","02","03","","-1.0","","-5.7","","-3.4","","21.4","","0.0","","","M","","M","1.3","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-04","1997","02","04","","-1.1","","-6.2","","-3.7","","21.7","","0.0","","","M","","M","8.5","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-05","1997","02","05","","-1.1","","-6.2","","-3.7","","21.7","","0.0","","","M","","M","6.8","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-06","1997","02","06","","-2.8","","-9.3","E","-6.1","E","24.1","E","0.0","E","","M","","M","0.0","","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-07","1997","02","07","","1.0","E","-9.5","E","-4.3","E","22.3","E","0.0","E","","M","","M","0.0","","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-08","1997","02","08","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-09","1997","02","09","","-1.1","","-29.5","","-15.3","","33.3","","0.0","","","M","","M","0.0","","","","25","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-10","1997","02","10","","1.0","","-8.6","","-3.8","","21.8","","0.0","","","M","","M","0.7","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-11","1997","02","11","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-12","1997","02","12","","-2.8","E","-9.9","E","-6.4","E","24.4","E","0.0","E","","M","","M","","M","","","32","","37",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-13","1997","02","13","","-7.7","","-32.6","","-20.2","","38.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-14","1997","02","14","","-1.4","","-15.0","","-8.2","","26.2","","0.0","","","M","","M","2.1","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-15","1997","02","15","","0.4","","-22.4","","-11.0","","29.0","","0.0","","","M","","M","0.6","","","","30","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-16","1997","02","16","","","M","-24.9","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-17","1997","02","17","","-5.9","","-33.0","","-19.5","","37.5","","0.0","","","M","","M","0.0","","","","21","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-18","1997","02","18","","7.2","","-6.3","","0.5","","17.5","","0.0","","","M","","M","0.6","","","","21","","44",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-19","1997","02","19","","6.5","","-11.5","","-2.5","","20.5","","0.0","","","M","","M","1.1","","","","31","","48",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-20","1997","02","20","","0.2","","-18.4","","-9.1","","27.1","","0.0","","","M","","M","3.7","","","","21","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-21","1997","02","21","","2.1","","-3.5","","-0.7","","18.7","","0.0","","","M","","M","51.3","","","","7","","44",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-22","1997","02","22","","-3.5","","-17.3","","-10.4","","28.4","","0.0","","","M","","M","5.1","","","","32","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-23","1997","02","23","","4.8","","-23.0","","-9.1","","27.1","","0.0","","","M","","M","","M","","","26","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-24","1997","02","24","","","M","-16.8","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-25","1997","02","25","","-6.5","E","","M","","M","","M","","M","","M","","M","","M","","","24","","39",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-26","1997","02","26","","4.4","","-7.2","","-1.4","","19.4","","0.0","","","M","","M","1.7","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-27","1997","02","27","","0.3","","-9.6","","-4.7","","22.7","","0.0","","","M","","M","11.2","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-02-28","1997","02","28","","1.9","","-16.9","","-7.5","","25.5","","0.0","","","M","","M","2.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-01","1997","03","01","","6.1","","-14.6","","-4.3","","22.3","","0.0","","","M","","M","5.2","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-02","1997","03","02","","6.8","","-8.5","","-0.9","","18.9","","0.0","","","M","","M","1.9","","","","31","","46",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-03","1997","03","03","","-2.5","","-14.3","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-04","1997","03","04","","-2.4","E","-9.6","E","-6.0","E","24.0","E","0.0","E","","M","","M","2.9","E","","","","M","","M"
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-05","1997","03","05","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-06","1997","03","06","","1.0","E","","M","","M","","M","","M","","M","","M","","M","","","32","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-07","1997","03","07","","","M","","M","","M","","M","","M","","M","","M","","M","","","29","","43",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-08","1997","03","08","","-3.0","","-23.7","","-13.4","","31.4","","0.0","","","M","","M","1.6","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1997-03-09","1997","03","09","","-2.7","","-28.9","","-15.8","","33.8","","0.0","","","M","","M","6.4","","","","15","","32",""
