"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.42","53.32","GOOSE A","8501900","1994-01-01","1994","01","01","","-19.3","","-29.2","","-24.3","","42.3","","0.0","","0.0","","0.2","","0.2","","18","","25","","39",""
"-60.42","53.32","GOOSE A","8501900","1994-01-02","1994","01","02","","-17.4","","-29.4","","-23.4","","41.4","","0.0","","0.0","","7.6","","7.5","","19","","27","","56",""
"-60.42","53.32","GOOSE A","8501900","1994-01-03","1994","01","03","","-28.2","","-32.0","","-30.1","","48.1","","0.0","","0.0","","0.0","","0.0","","24","","26","","61",""
"-60.42","53.32","GOOSE A","8501900","1994-01-04","1994","01","04","","-21.3","","-30.0","","-25.7","","43.7","","0.0","","0.0","","0.0","","0.0","","23","","24","","63",""
"-60.42","53.32","GOOSE A","8501900","1994-01-05","1994","01","05","","-8.6","","-23.2","","-15.9","","33.9","","0.0","","0.0","","13.4","","13.4","","20","","9","","33",""
"-60.42","53.32","GOOSE A","8501900","1994-01-06","1994","01","06","","-8.2","","-15.1","","-11.7","","29.7","","0.0","","0.0","","8.2","","8.2","","32","","26","","83",""
"-60.42","53.32","GOOSE A","8501900","1994-01-07","1994","01","07","","1.6","","-13.3","","-5.9","","23.9","","0.0","","0.0","","1.8","","1.8","","15","","26","","65",""
"-60.42","53.32","GOOSE A","8501900","1994-01-08","1994","01","08","","-5.0","","-10.1","","-7.6","","25.6","","0.0","","0.0","","0.6","","0.6","","13","","5","","33",""
"-60.42","53.32","GOOSE A","8501900","1994-01-09","1994","01","09","","0.3","","-9.1","","-4.4","","22.4","","0.0","","0.0","","8.5","","8.5","","15","","6","","52",""
"-60.42","53.32","GOOSE A","8501900","1994-01-10","1994","01","10","","0.2","","-16.8","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","13","","2","","63",""
"-60.42","53.32","GOOSE A","8501900","1994-01-11","1994","01","11","","-16.5","","-23.6","","-20.1","","38.1","","0.0","","0.0","","0.0","","0.0","","12","","26","","33",""
"-60.42","53.32","GOOSE A","8501900","1994-01-12","1994","01","12","","-11.8","","-25.9","","-18.9","","36.9","","0.0","","0.0","","2.0","","2.0","","13","","27","","46",""
"-60.42","53.32","GOOSE A","8501900","1994-01-13","1994","01","13","","-22.2","","-30.2","","-26.2","","44.2","","0.0","","0.0","","2.9","","1.9","","13","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1994-01-14","1994","01","14","","-17.4","","-25.5","","-21.5","","39.5","","0.0","","0.0","","4.8","","3.4","","16","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1994-01-15","1994","01","15","","-12.4","","-18.9","","-15.7","","33.7","","0.0","","0.0","","21.4","","20.0","","27","","33","","37",""
"-60.42","53.32","GOOSE A","8501900","1994-01-16","1994","01","16","","-13.7","","-26.2","","-20.0","","38.0","","0.0","","0.0","","0.4","","0.4","","37","","27","","44",""
"-60.42","53.32","GOOSE A","8501900","1994-01-17","1994","01","17","","-22.2","","-27.4","","-24.8","","42.8","","0.0","","0.0","","0.0","T","0.0","T","30","","25","","56",""
