"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-01","1991","01","01","","-19.9","","-32.7","","-26.3","","44.3","","0.0","","0.0","","0.0","T","0.0","T","25","","26","","39","E"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-02","1991","01","02","","-17.6","","-25.2","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","25","","23","","41","E"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-03","1991","01","03","","-12.6","","-19.7","","-16.2","","34.2","","0.0","","0.0","","0.0","","0.0","","25","","26","","50","E"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-04","1991","01","04","","-12.6","","-28.5","","-20.6","","38.6","","0.0","","0.0","","0.0","T","0.0","T","25","","35","","39","E"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-05","1991","01","05","","-27.7","","-36.7","","-32.2","","50.2","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-06","1991","01","06","","-25.3","","-38.1","","-31.7","","49.7","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-07","1991","01","07","","-25.2","","-37.9","","-31.6","","49.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-08","1991","01","08","","-33.3","","-41.5","","-37.4","","55.4","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-09","1991","01","09","","-22.4","","-39.3","","-30.9","","48.9","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-10","1991","01","10","","-22.4","","-32.9","","-27.7","","45.7","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-11","1991","01","11","","-18.5","","-31.9","","-25.2","","43.2","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-12","1991","01","12","","-10.0","","-19.4","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-13","1991","01","13","","-5.4","","-14.7","","-10.1","","28.1","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-14","1991","01","14","","-1.8","","-10.7","","-6.3","","24.3","","0.0","","0.0","T","0.0","T","0.0","T","24","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-15","1991","01","15","","-4.8","","-11.5","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-16","1991","01","16","","-7.6","","-15.3","","-11.5","","29.5","","0.0","","0.0","","0.4","","0.2","","22","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-17","1991","01","17","","-9.1","","-17.0","","-13.1","","31.1","","0.0","","0.0","","0.6","","0.4","","22","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-18","1991","01","18","","6.8","","-15.9","","-4.6","","22.6","","0.0","","0.0","T","3.8","","2.8","","23","","25","","89","E"
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-19","1991","01","19","","-15.6","","-23.6","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-20","1991","01","20","","-11.9","","-26.7","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-111.22","56.65","FORT MCMURRAY A","3062693","1991-01-21","1991","01","21","","3.7","","-14.5","","-5.4","","23.4","","0.0","","0.0","T","0.0","T","0.0","T","27","","30","","69","E"
