"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.95","49.91","BRANDON A","5010480","1994-01-01","1994","01","01","","-17.4","","-25.4","","-21.4","","39.4","","0.0","","0.0","","0.8","","0.8","","8","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-02","1994","01","02","","-17.9","","-30.3","","-24.1","","42.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-03","1994","01","03","","-16.4","","-24.6","","-20.5","","38.5","","0.0","","0.0","","3.8","","1.6","","8","","4","","37","E"
"-99.95","49.91","BRANDON A","5010480","1994-01-04","1994","01","04","","-18.1","","-36.2","","-27.2","","45.2","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-05","1994","01","05","","-27.0","","-31.0","","-29.0","","47.0","","0.0","","0.0","","6.4","","4.6","","12","","5","","56","E"
"-99.95","49.91","BRANDON A","5010480","1994-01-06","1994","01","06","","-25.1","","-31.5","","-28.3","","46.3","","0.0","","0.0","","1.5","","1.0","","19","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-07","1994","01","07","","-24.7","","-36.2","","-30.5","","48.5","","0.0","","0.0","","2.0","","1.6","","19","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-08","1994","01","08","","-24.4","","-33.6","","-29.0","","47.0","","0.0","","0.0","","0.2","","0.2","","21","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-09","1994","01","09","","-11.9","","-33.7","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","21","","13","","37","E"
"-99.95","49.91","BRANDON A","5010480","1994-01-10","1994","01","10","","-13.4","","-32.0","","-22.7","","40.7","","0.0","","0.0","","0.2","","0.2","","21","","32","","54","E"
"-99.95","49.91","BRANDON A","5010480","1994-01-11","1994","01","11","","-20.2","","-33.0","","-26.6","","44.6","","0.0","","0.0","","3.2","","3.2","","18","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1994-01-12","1994","01","12","","-19.7","","-26.4","","-23.1","","41.1","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
