ダウンロードした時刻：2022/02/23 22:14:11

,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均湿度(％),平均湿度(％),平均湿度(％),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均湿度(％),平均湿度(％),平均湿度(％),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1991/3/15,-13.2,8,1,0,8,1,8.8,8,1,,0,1,,0,1,,0,1,-9.7,8,1,0.0,0,8,1,6.6,0,8,1,78,8,1,15.1,8,1,1005.5,8,1
1991/3/16,-8.2,8,1,0,8,1,2.5,8,1,,0,1,,0,1,,0,1,-3.9,8,1,0.5,0,8,1,2.4,0,8,1,75,8,1,12.5,8,1,1002.5,8,1
1991/3/17,-2.0,5,1,1,8,1,3.8,8,1,,0,1,,0,1,,0,1,-3.5,8,1,2.0,0,8,1,4.0,0,8,1,80,8,1,12.7,8,1,994.7,8,1
1991/3/18,-1.2,8,1,0,8,1,9.1,8,1,,0,1,,0,1,,0,1,0.2,8,1,0.0,0,8,1,7.2,0,8,1,66,8,1,17.8,8,1,1004.8,8,1
1991/3/19,3.0,8,1,10,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.7,8,1,0.0,0,8,1,0,1,8,1,73,8,1,3.3,8,1,999.1,8,1
1991/3/20,-1.0,8,1,35,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.2,8,1,7.5,0,8,1,1.8,0,8,1,80,8,1,8.2,8,1,988.7,8,1
1991/3/21,-3.8,8,1,1,8,1,3.7,8,1,,0,1,,0,1,,0,1,-3.8,8,1,2.5,0,8,1,3.5,0,8,1,72,8,1,14.2,8,1,1004.0,8,1
1991/3/22,-0.9,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,-0.6,8,1,0.5,0,8,1,4.3,0,8,1,66,8,1,13.9,8,1,1008.5,8,1
